Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,FSR_nm,Notch_at_0V_nm,dLambda_dV_pm_per_V,PeakIL_dB,PeakIL_near_1310_dB,I_at_-1V_pA,I_at_-2V_pA,FailedContact,Vpi_V,Vpi_L_V_cm,PhaseShifter_Length_um,ER_at_-2V_dB,ER_at_0V_dB
D07,20190715_190855,"(-1,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-1,C,1550.0,14.454600000000028,1550.825,-191.39428571414172,-11.199917268753053,-11.199917268753053,26032.37,32863.73,False,37.76131545951376,1.6992591956781193,450.0,35.47455024719238,32.523377418518066
D07,20190715_190855,"(-3,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,-1,C,1550.0,14.354000000000042,1545.1945,-240.89714285695243,-10.09522533416748,-10.09522533416748,48908.189999999995,73191.94,False,29.79279834905227,1.3406759257073522,450.0,39.18709182739258,35.856709480285645
D07,20190715_190855,"(3,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,3,-1,C,1550.0,14.235300000000052,1544.4451,-256.2685714285262,-10.844054651260375,-10.844054651260375,45919.42,67940.39,False,27.774182219551466,1.249838199879816,450.0,34.02705001831055,18.870963096618652
D07,20190715_190855,"(-3,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,-3,C,1550.0,14.191100000000006,1548.887,-243.75428571412465,-10.751500368118288,-10.751500368118288,54654.95,85676.62000000001,False,29.109436903692735,1.3099246606661732,450.0,38.01692199707031,37.94484233856201
D07,20190715_190855,"(0,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,0,-3,C,1550.0,14.176899999999932,1544.7279,-254.50857142836637,-10.050718545913696,-10.050718545913696,48147.270000000004,71285.06,False,27.85151777096463,1.2533182996934085,450.0,39.46188735961914,26.847135543823242
D07,20190715_190855,"(2,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,2,-3,C,1550.0,14.378600000000006,1550.3687,-255.1085714282742,-13.813859510421754,-13.813859510421754,66632.87000000001,107667.3,False,28.181334557868166,1.2681600551040677,450.0,29.261852264404297,34.29246234893799
D07,20190715_190855,"(-1,-4)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-4,C,1550.0,14.218399999999974,1548.6314,-251.17714285697068,-11.839429235458374,-11.839429235458374,77830.68,127985.40000000001,False,28.303530803550153,1.273658886159757,450.0,31.233210563659668,33.34557819366455
D07,20190715_190855,"(-4,0)",MZMCTE_LULAB_450_500,DCM_LMZC,-4,0,C,1550.0,14.197450000000003,1552.5087,-234.39428571402343,-11.64125361442566,-11.64125361442566,67602.70999999999,109973.0,False,30.285401277490685,1.362843057487081,450.0,34.77379608154297,35.49978733062744
D07,20190715_190855,"(0,0)",MZMCTE_LULAB_450_500,DCM_LMZC,0,0,C,1550.0,14.559100000000171,1550.4817,-233.1199999999067,-11.970678997039794,-11.970678997039794,8955.287,10668.449999999999,False,31.22662148251115,1.405197966713002,450.0,33.36817455291748,34.843289375305176
D07,20190715_190855,"(2,0)",MZMCTE_LULAB_450_500,DCM_LMZC,2,0,C,1550.0,14.40319999999997,1548.7076,-223.38285714259217,-10.088868188858033,-10.088868188858033,41505.57,59634.770000000004,False,32.238821242236064,1.450746955900623,450.0,36.1536808013916,36.50025272369385
D07,20190715_190855,"(-1,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,2,C,1550.0,14.459299999999985,1548.5505,-230.36571428557846,-10.405753993988037,-10.405753993988037,45946.119999999995,68342.38,False,31.383359378894298,1.4122511720502435,450.0,37.90065670013428,37.901883125305176
D07,20190715_190855,"(-3,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,2,C,1550.0,14.372499999999945,1543.88,-255.7771428569041,-10.978378438949585,-10.978378438949585,61845.92,100106.7,False,28.095747414069592,1.2643086336331317,450.0,18.398858070373535,13.52524471282959
D07,20190715_190855,"(2,2)",MZMCTE_LULAB_450_500,DCM_LMZC,2,2,C,1550.0,14.305749999999989,1552.0019,-244.70285714272902,-10.892215251922607,-10.892215251922607,48047.27,71710.57,False,29.230860168616267,1.3153887075877322,450.0,31.93073081970215,35.47237491607666
D07,20190715_190855,"(0,3)",MZMCTE_LULAB_450_500,DCM_LMZC,0,3,C,1550.0,14.398299999999836,1547.391,-256.7657142855288,-10.284873199462892,-10.284873199462892,49716.18,76494.43,False,28.037816575441664,1.261701745894875,450.0,36.9568395614624,37.648536682128906
D08,20190526_082853,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.820999999999913,1312.509,-158.7942857144078,-6.671769618988037,-6.671769618988037,53125.46,97263.08,False,30.92365684261152,1.1750989600192379,380.0,29.28114128112793,30.648732662200928
D08,20190526_082853,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.856649999999945,1308.4738,-163.6514285713105,-9.243783760070801,-9.243783760070801,62870.32,114982.59999999999,False,30.114769195873368,1.144361229443188,380.0,31.727827072143555,29.32589817047119
D08,20190526_082853,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.901599999999917,1307.53,-217.21142857124173,-9.008456373214722,-9.008456373214722,53568.05,96864.38,False,22.79253919816737,0.86611648953036,380.0,31.489797592163086,31.345436096191406
D08,20190526_082853,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.83660000000009,1308.0264,-182.0857142854467,-9.940737199783324,-9.940737199783324,67618.09999999999,125198.70000000001,False,27.01090538212059,1.0264144045205823,380.0,29.15131664276123,26.18995952606201
D08,20190526_082853,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.820300000000088,1306.2246,-167.645714285493,-8.224853515625,-8.224853515625,38477.920000000006,71476.76,False,29.2888489331632,1.1129762594602017,380.0,30.695013999938965,30.386322021484375
D08,20190526_082853,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.889099999999871,1313.6828,-185.74285714259335,-8.631327962875366,-8.631327962875366,59376.85,109153.7,False,26.62040455318313,1.011575373020959,380.0,33.238487243652344,32.56575012207031
D08,20190526_082853,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.711000000000013,1310.5799,-181.07428571393172,-8.447550773620605,-8.447550773620605,76404.6,142494.30000000002,False,26.814961499673764,1.018968536987603,380.0,30.320789337158203,29.37547492980957
D08,20190526_082853,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.753200000000106,1313.6022,-184.4057142855397,-8.328320455551147,-8.328320455551147,76362.18999999999,143189.0,False,26.44495057484482,1.0049081218441032,380.0,32.92043685913086,33.24611473083496
D08,20190526_082853,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.863800000000083,1312.432,-169.09714285687073,-6.367280507087708,-6.367280507087708,72038.03,133283.9,False,29.16607529066627,1.1083108610453183,380.0,31.0552716255188,31.113885402679443
D08,20190526_082853,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.852300000000014,1312.7709,-195.00571428580014,-7.0068135261535645,-7.0068135261535645,34444.759999999995,63792.97,False,25.261567426584474,0.9599395622102099,380.0,29.52112627029419,31.11001491546631
D08,20190526_082853,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.867100000000164,1311.8792,-194.99999999958465,-6.362979412078857,-6.362979412078857,35368.33,65804.3,False,25.30025641031072,0.9614097435918073,380.0,32.7756552696228,32.81456995010376
D08,20190526_082853,"(-3,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,2,O,1310.0,9.734699999999975,1314.7933,-183.58285714280657,-7.743221759796143,-7.743221759796143,63460.43,117965.8,False,26.513096460927954,1.0074976655152623,380.0,29.389198303222656,32.50660943984985
D08,20190526_082853,"(2,2)",MZMOTE_LULAB_380_500,DCM_LMZO,2,2,O,1310.0,9.816100000000006,1310.1292,-195.67999999962268,-7.366436004638672,-7.366436004638672,39447.5,73537.76,False,25.082021668077815,0.9531168233869569,380.0,32.815579891204834,33.43575572967529
D08,20190526_082853,"(0,3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,3,O,1310.0,9.776399999999967,1310.5995,-168.81142857105354,-6.863186359405518,-6.863186359405518,53002.57,96441.48000000001,False,28.956570306746244,1.1003496716563572,380.0,31.814915657043457,30.798646926879883
D08,20190712_113254,"(-1,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-1,C,1550.0,14.364392100000032,1547.8397239,-228.52459314283317,-9.750843915343916,-9.750843915343916,-1.0808820000000001,68.93766000000001,True,31.428547585296332,1.4142846413383352,450.0,33.53071903855253,35.84165863073383
D08,20190712_113254,"(-3,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,-1,C,1550.0,14.359011059999943,1543.78591385,-219.77997371390714,-10.399971092752262,-10.399971092752262,489.42350000000005,1769.285,True,32.66678673529057,1.4700054030880758,450.0,16.067315143905503,12.510900989035004
D08,20190712_113254,"(3,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,3,-1,C,1550.0,14.109135410000135,1546.37258399,-220.3990771426965,-10.923497354497353,-10.923497354497353,268.9357,1101.3090000000002,True,32.00815446442462,1.4403669508991082,450.0,36.66254261000139,37.13941546125715
D08,20190712_113254,"(-3,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,-3,C,1550.0,14.319985490000136,1548.58710168,-221.81211199968334,-10.514063492063492,-10.514063492063492,560.15,1657.994,True,32.27953911286093,1.4525792600787422,450.0,36.724014571066775,36.03931007685415
D08,20190712_113254,"(0,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,0,-3,C,1550.0,14.236431684999957,1554.95679814,-244.6593617141218,-10.466218772814091,-10.466218772814091,278.5752,1127.307,True,29.09439390599503,1.3092477257697765,450.0,19.451787439793648,31.8529138072328
