Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,n_lengths,Loss_per_um_dB_per_um,Loss_intercept_dB,Loss_R2,Modulation_per_um_dB_per_V_per_um,Modulation_intercept_dB_per_V,Modulation_R2
D07,20190715_190855,"(-1,-1)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-1,-1,C,3,-0.001787752361580782,0.2868600644595344,0.9993880308512009,-0.00010524214673569676,0.009460103496475136,0.9968619059155716
D07,20190715_190855,"(-1,-4)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-1,-4,C,3,-0.002054009048187197,0.24330071469829045,0.9982958464564418,-0.00010739077680309945,0.0052553336707726874,0.9879618571217047
D07,20190715_190855,"(-1,2)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-1,2,C,3,-0.0015276636142944131,-0.07415016662482901,0.9990727954680511,-9.962853359916293e-05,-0.018604674620793217,0.9995570500653508
D07,20190715_190855,"(-3,-1)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-3,-1,C,3,-0.001592326873715555,0.3068460758909908,0.9993519976207971,-0.00010868181112234043,0.0067545310154165225,0.9959554190751104
D07,20190715_190855,"(-3,-3)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-3,-3,C,3,-0.002112416560987441,0.35241502435746636,0.9996509205120971,-0.00012606599299961414,0.019124787577148857,0.9968372301536136
D07,20190715_190855,"(-3,2)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-3,2,C,3,-0.0017216528528397384,-0.029545074813344008,0.9979106186196024,-9.001830814515638e-05,-0.03134925018744133,0.9992006770285793
D07,20190715_190855,"(-4,0)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-4,0,C,3,-0.0019256191423140765,0.25284504063243385,0.9998548068243402,-0.000128863464902542,0.034833657723379964,0.9939646131841247
D07,20190715_190855,"(0,-3)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,0,-3,C,3,-0.0016805355399085772,0.2212227865784105,0.9998670998200611,-9.775597058574455e-05,-0.016858282116118676,0.9995175152589059
D07,20190715_190855,"(0,0)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,0,0,C,3,-0.0018978143477835056,0.33157908230461547,0.9986688953537952,-0.0001140788243427826,0.012604563303412085,0.99999952791102
D07,20190715_190855,"(0,3)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,0,3,C,3,-0.0017488032446967231,0.19097289446574253,0.9944643774514165,-0.00010936444846008948,-0.0038239738371136107,0.9991054827168714
D07,20190715_190855,"(2,-3)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,2,-3,C,3,-0.0019729128346558144,0.17854615214002612,0.9998517431184782,-0.00010444049610610804,-0.02392713604131537,0.9517974825551775
D07,20190715_190855,"(2,0)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,2,0,C,3,-0.0017947638408810332,1.6315701795778221,0.9980268011908549,-0.00010192989912689207,-0.03615899883211269,0.999790079142203
D07,20190715_190855,"(2,2)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,2,2,C,3,-0.0018958962889278571,0.27567212234641275,0.9992145240178136,-0.0001284039793458267,0.014748504622280723,0.9647196266485929
D07,20190715_190855,"(3,-1)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,3,-1,C,3,-0.00197727250980592,13.175068890558698,0.9986892830336516,-0.00013922518915858808,0.04165032236743825,0.9999999871120822
D08,20190526_082853,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,3,-0.0010737389995083971,0.1454234575440759,0.9971212540191848,-6.006043842904089e-05,-0.012598283348437595,0.9503001970109363
D08,20190526_082853,"(-1,-4)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-4,O,3,-0.001118328000767417,0.03883574981766753,0.9995114200440989,-4.9771641854192546e-05,-0.029971534565692574,0.8707631972435228
D08,20190526_082853,"(-1,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,2,O,3,-0.0010697542970830782,0.24428596200224156,0.9999969379260981,-8.42337413778744e-05,0.023749681003969517,0.9794327583530118
D08,20190526_082853,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,3,-0.0011368213663197715,0.2010431535742447,0.9985470590236304,-7.670681709589048e-05,0.007362142521683103,0.995154654263717
D08,20190526_082853,"(-3,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-3,O,3,-0.0010038428307553317,-0.10205981772943051,0.9996060181947943,-5.322809366690024e-05,-0.015454875386183176,0.8415851681895612
D08,20190526_082853,"(-3,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,2,O,3,-0.0011932480669021692,0.3136902407042598,0.9997432147502815,-9.394361868634051e-05,0.024385705455083694,0.9970714684333408
D08,20190526_082853,"(-4,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-4,0,O,3,-0.001310853213300638,0.34923040422518453,0.9991080712245479,-9.402473786495298e-05,0.01736059332743478,0.9921194516580492
D08,20190526_082853,"(0,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,-3,O,3,-0.0011229231887393719,0.062017276799178234,0.9989125249637834,-7.06264652783345e-05,-0.013884546591147011,0.9999868423441131
D08,20190526_082853,"(0,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,0,O,3,-0.0011541753470897837,0.22276865541936738,0.9973806433802822,-6.274476140054424e-05,-0.014773152035480241,0.9936184892839354
D08,20190526_082853,"(0,3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,3,O,3,-0.0010247751754431102,0.06671904976665949,0.9999998899548737,-7.521414698437339e-05,-0.006272559233981458,0.9999953688181985
D08,20190526_082853,"(2,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,-3,O,3,-0.0012358525667515911,0.07354049308936084,0.9959343007179928,-6.09424029685069e-05,-0.055293047090824145,0.9896885679682182
D08,20190526_082853,"(2,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,0,O,3,-0.0012470515737630296,0.2412387779665878,0.9992425033538529,-8.144441176773546e-05,0.006901972413406311,0.999609614653261
D08,20190526_082853,"(2,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,2,O,3,-0.0010679212236459118,0.21242803139739017,0.9990240542118154,-7.322831895587625e-05,0.006811942922914351,0.9972836581128844
D08,20190526_082853,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,3,-0.0012163022488962648,0.20746298299845983,0.9980967665210585,-8.448599816367922e-05,-0.0035121383742021273,0.9902845156933768
D23,20190531_072042,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,3,-0.0005722009164235602,0.2580179434900027,0.9987690146133538,-1.5055796817099323e-06,0.003151791865664056,0.22705710572347426
D23,20190531_072042,"(-1,-4)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-4,O,3,-0.0007188573366120293,0.2128959248678636,0.9999940971027882,1.757972685719633e-06,-0.0004973663836532527,0.05939444549164252
D23,20190531_072042,"(-1,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,2,O,3,-0.0005165395661762418,0.2240424030167009,0.9927433537998992,-5.986972370599563e-06,0.005875695335257619,0.969917565893527
D23,20190531_072042,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,3,-0.0006912727970311435,0.36638760519801983,0.9987291388228879,-1.5232508399899274e-06,0.00836671505168355,0.8642292916098615
D23,20190531_072042,"(-3,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-3,O,3,-0.0006194225252884325,0.005806491722993749,0.997618621591954,-5.235259923607139e-06,0.010271178916233326,0.18323016939686987
D23,20190531_072042,"(-3,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,2,O,3,-0.0005976978985950182,0.25103682623971457,0.9982020072428803,-1.1470609433712612e-05,0.014234507943380402,0.9469323025721287
D23,20190531_072042,"(-4,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-4,0,O,3,-0.0006372266994823162,0.12557035172766218,0.9981749840223372,-1.1597771844114807e-06,0.014504573928020865,0.7251425686967747
D23,20190531_072042,"(0,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,-3,O,3,-0.000530319466157466,0.036844968059702096,0.9920150745147887,1.3236940781283137e-06,-0.011459337563134999,0.43735014912862924
D23,20190531_072042,"(0,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,0,O,3,-0.0005284505787462224,0.09425948851182724,0.9960364163875913,3.4717327614516535e-06,-0.006972423628116265,0.4678541432437656
