Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,PortLabel,Length_um,PeakIL_dB,PeakIL_at_1310_dB,IL_drop_vs_REF_dB,dIL_dV_dB_per_V,I_at_-1V_pA,I_at_-2V_pA
D08,20190526_082853,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,1310.0,IN_1/OUT_1,500.0,-5.938419370367957,-5.938419370367957,-0.3581367207594024,-0.03469847321255672,-114.774,-90.0954
D08,20190526_082853,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,1310.0,IN_2/OUT_2,1500.0,-7.112086334228516,-7.112086334228516,-1.5318036846199607,-0.11854899969280171,-91.18479,-69.94193
D08,20190526_082853,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,1310.0,IN_3/OUT_3,2500.0,-8.085897369384751,-8.085897369384751,-2.5056147197761964,-0.1548193500706385,-66.25479,-46.10124
D08,20190526_082853,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,1310.0,IN_1/OUT_1,500.0,-6.21232120436852,-6.21232120436852,-0.3423311620907601,-0.03408149337218314,-110.7098,-91.85519
D08,20190526_082853,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,1310.0,IN_2/OUT_2,1500.0,-7.424251673172934,-7.424251673172934,-1.5542616308951747,-0.10151762843031054,-91.85516,-68.14025
D08,20190526_082853,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,1310.0,IN_3/OUT_3,2500.0,-8.485963937008062,-8.485963937008062,-2.6159738947303026,-0.18749512756396408,-69.39726,-50.4588
D08,20190526_082853,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,1310.0,IN_1/OUT_1,500.0,-7.207843391262876,-7.207843391262876,-0.3700233092631313,-0.04092370018575553,-112.3858,-91.89709
D08,20190526_082853,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,1310.0,IN_2/OUT_2,1500.0,-8.516140136718764,-8.516140136718764,-1.6783200547190198,-0.13990401016029333,-97.42777,-71.07319
D08,20190526_082853,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,1310.0,IN_3/OUT_3,2500.0,-9.640447889055405,-9.640447889055405,-2.8026278070556607,-0.20989569651311396,-66.92523,-52.47004
D08,20190526_082853,"(-3,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-3,O,1310.0,IN_1/OUT_1,500.0,-7.470363130374858,-7.470363130374858,-0.6154873490555,-0.055401961815831034,-115.73769999999999,-92.14848
