Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,FSR_nm,Notch_at_0V_nm,dLambda_dV_pm_per_V,PeakIL_dB,PeakIL_near_1310_dB,I_at_-1V_pA,I_at_-2V_pA,FailedContact,Pass_I_at_-1V_pA,Pass_dLambda_dV_pm_per_V,Pass_PeakIL_near_1310_dB,Pass_FSR_nm,Pass
D07,20190715_190855,"(-1,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-1,C,1550.0,14.454600000000028,1550.825,-191.39428571414172,-11.199917268753053,-11.199917268753053,26032.37,32863.73,False,True,True,True,False,False
D07,20190715_190855,"(-3,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,-1,C,1550.0,14.354000000000042,1545.1945,-240.89714285695243,-10.09522533416748,-10.09522533416748,48908.189999999995,73191.94,False,True,True,True,False,False
D07,20190715_190855,"(3,-1)",MZMCTE_LULAB_450_500,DCM_LMZC,3,-1,C,1550.0,14.235300000000052,1544.4451,-256.2685714285262,-10.844054651260375,-10.844054651260375,45919.42,67940.39,False,True,True,True,False,False
D07,20190715_190855,"(-3,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,-3,C,1550.0,14.191100000000006,1548.887,-243.75428571412465,-10.751500368118288,-10.751500368118288,54654.95,85676.62000000001,False,True,True,True,False,False
D07,20190715_190855,"(0,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,0,-3,C,1550.0,14.176899999999932,1544.7279,-254.50857142836637,-10.050718545913696,-10.050718545913696,48147.270000000004,71285.06,False,True,True,True,False,False
D07,20190715_190855,"(2,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,2,-3,C,1550.0,14.378600000000006,1550.3687,-255.1085714282742,-13.813859510421754,-13.813859510421754,66632.87000000001,107667.3,False,True,True,False,False,False
D07,20190715_190855,"(-1,-4)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-4,C,1550.0,14.218399999999974,1548.6314,-251.17714285697068,-11.839429235458374,-11.839429235458374,77830.68,127985.40000000001,False,True,True,True,False,False
D07,20190715_190855,"(-4,0)",MZMCTE_LULAB_450_500,DCM_LMZC,-4,0,C,1550.0,14.197450000000003,1552.5087,-234.39428571402343,-11.64125361442566,-11.64125361442566,67602.70999999999,109973.0,False,True,True,True,False,False
D07,20190715_190855,"(0,0)",MZMCTE_LULAB_450_500,DCM_LMZC,0,0,C,1550.0,14.559100000000171,1550.4817,-233.1199999999067,-11.970678997039794,-11.970678997039794,8955.287,10668.449999999999,False,True,True,True,False,False
D07,20190715_190855,"(2,0)",MZMCTE_LULAB_450_500,DCM_LMZC,2,0,C,1550.0,14.40319999999997,1548.7076,-223.38285714259217,-10.088868188858033,-10.088868188858033,41505.57,59634.770000000004,False,True,True,True,False,False
D07,20190715_190855,"(-1,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,2,C,1550.0,14.459299999999985,1548.5505,-230.36571428557846,-10.405753993988037,-10.405753993988037,45946.119999999995,68342.38,False,True,True,True,False,False
D07,20190715_190855,"(-3,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,2,C,1550.0,14.372499999999945,1543.88,-255.7771428569041,-10.978378438949585,-10.978378438949585,61845.92,100106.7,False,True,True,True,False,False
D07,20190715_190855,"(2,2)",MZMCTE_LULAB_450_500,DCM_LMZC,2,2,C,1550.0,14.305749999999989,1552.0019,-244.70285714272902,-10.892215251922607,-10.892215251922607,48047.27,71710.57,False,True,True,True,False,False
D07,20190715_190855,"(0,3)",MZMCTE_LULAB_450_500,DCM_LMZC,0,3,C,1550.0,14.398299999999836,1547.391,-256.7657142855288,-10.284873199462892,-10.284873199462892,49716.18,76494.43,False,True,True,True,False,False
D08,20190526_082853,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.820999999999913,1312.509,-158.7942857144078,-6.671769618988037,-6.671769618988037,53125.46,97263.08,False,True,True,True,True,True
D08,20190526_082853,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.856649999999945,1308.4738,-163.6514285713105,-9.243783760070801,-9.243783760070801,62870.32,114982.59999999999,False,True,True,True,True,True
